alpha_a alpha_g dim A_ass A_ass_err B_ass B_ass_err A_diameter A_diameter_err B_diameter B_diameter_err A_short A_short_err B_short B_short_err
15.0 2 2 0.003519016944506372 0.0005541133282741495 -0.0038745636409055787 0.006177485394682377 0.0034015002559332004 0.01825586983152055 -0.0024628237678626357 0.20352395414664765 0.0026921851947125435 0.027701315490186576 0.006091435611454921 0.3088243458591648
0.0 2 3 0.015524105454423355 0.0011970767812131229 -0.20438351148801884 0.011695238885885025 0.015060372460622445 0.04953746956109071 -0.19868893269143467 0.48397161958631124 0.013052657982783015 0.06460438544760964 -0.17379670829924648 0.6311558177111275
1.0 2 3 0.018912153246180383 0.001228969411494308 -0.2470832411031558 0.011825449974338285 0.018403738391518928 0.0673141575183482 -0.2403958400407684 0.6477120409302266 0.016828516723408134 0.07867109076285071 -0.21964877885890738 0.7569766274043324
3.0 2 3 0.014979331479633718 0.0007867336251108517 -0.22434637363524113 0.007604898495063143 0.014408660448879259 0.06463465747700699 -0.21733775448354106 0.6247844135761669 0.012589078470638263 0.0790700473122604 -0.19455939061051533 0.7643089668594034
4.0 2 3 0.013705895005964409 0.0008830822644463289 -0.1915102975886615 0.008578053898374386 0.013357189262950394 0.05219347510837045 -0.18713900254325488 0.506994448752671 0.011868632170582873 0.06582310488690861 -0.16896210541761852 0.6393802333644447
5.0 2 3 0.010105686249438528 0.0012297139937749604 -0.13571477647018096 0.012224440555435614 0.00978569042619709 0.041198684280681894 -0.1317784681976166 0.409550619120583 0.008364250595202004 0.055352986175999805 -0.1141993620413864 0.5502479562830184
6.0 2 3 0.007619898793799654 0.0009804511687811978 -0.09771414845899785 0.009670294682189237 0.007252289095289812 0.04604378958446519 -0.09332096852609247 0.4541341985762295 0.005721574666343966 0.06164292451890378 -0.0747914914852957 0.6079815071600314
7.0 2 3 0.006373333703042965 0.0007077268961390476 -0.07641620976777566 0.006997789480673201 0.006035905634153586 0.043203218950701054 -0.0724006981299348 0.4271798270303379 0.004286757465720701 0.05979864736259683 -0.05175296940120396 0.5912611239065341
8.0 2 3 0.005465408711600404 0.000695092437848799 -0.061103631267327006 0.006965653080114221 0.005111364924439675 0.03949834379528751 -0.0569810479395127 0.3958198894232095 0.003381917935082879 0.05532596019510556 -0.036728997973863226 0.5544230024734798
9.0 2 3 0.0045941744172722865 0.0005360558800846347 -0.0473762516218328 0.005385092690566422 0.00424200535962947 0.0392496844075888 -0.043268118620760215 0.3942927080825072 0.0025759158292606096 0.054700474090706996 -0.023687115368066117 0.5494997300153296
