N,N_s,dim,alpha_a
40000,250,4,3.45
40000,250,4,3.55
40000,250,4,3.6
40000,250,4,3.65
40000,250,4,3.7
40000,250,4,3.8
40000,250,4,3.85
40000,250,4,3.9
40000,250,4,3.95
40000,250,4,4.05
40000,250,4,4.1
80000,100,1,3.15
80000,100,1,3.2
80000,100,1,3.3
80000,100,1,3.35
80000,100,1,3.4
80000,100,1,3.45
80000,100,1,3.55
80000,100,1,3.6
80000,100,1,3.65
80000,100,1,3.7
80000,100,1,3.8
80000,100,1,3.85
80000,100,1,3.9
80000,100,1,3.95
80000,100,1,4.05
80000,100,1,4.1
80000,100,2,3.15
80000,100,2,3.2
80000,100,2,3.3
80000,100,2,3.35
80000,100,2,3.4
80000,100,2,3.45
80000,100,2,3.55
80000,100,2,3.6
80000,100,2,3.65
80000,100,2,3.7
80000,100,2,3.8
80000,100,2,3.85
80000,100,2,3.9
80000,100,2,3.95
80000,100,2,4.05
80000,100,2,4.1
80000,100,3,3.15
80000,100,3,3.2
80000,100,3,3.3
80000,100,3,3.35
80000,100,3,3.4
80000,100,3,3.45
80000,100,3,3.55
80000,100,3,3.6
80000,100,3,3.65
80000,100,3,3.7
80000,100,3,3.8
80000,100,3,3.85
80000,100,3,3.9
80000,100,3,3.95
80000,100,3,4.05
80000,100,3,4.1
80000,100,4,3.15
80000,100,4,3.2
80000,100,4,3.3
80000,100,4,3.35
80000,100,4,3.4
80000,100,4,3.45
80000,100,4,3.55
80000,100,4,3.6
80000,100,4,3.65
80000,100,4,3.7
80000,100,4,3.8
80000,100,4,3.85
80000,100,4,3.9
80000,100,4,3.95
80000,100,4,4.05
80000,100,4,4.1
160000,15,1,3.15
160000,15,1,3.2
160000,15,1,3.3
160000,15,1,3.35
160000,15,1,3.4
160000,15,1,3.45
160000,15,1,3.55
160000,15,1,3.6
160000,15,1,3.65
160000,15,1,3.7
160000,15,1,3.8
160000,15,1,3.85
160000,15,1,3.9
160000,15,1,3.95
160000,15,1,4.05
160000,15,1,4.1
