alpha_a alpha_g dim A_ass A_ass_err B_ass B_ass_err A_diameter A_diameter_err B_diameter B_diameter_err A_short A_short_err B_short B_short_err
5.0 2 3 0.00995334446684801 0.0009967166051817599 -0.13423493653821886 0.010211606294681182 4.097973350135851 0.06129995324910582 -7.154260407163771 0.5812471753320777 1.4937040449051837 0.013160015089508368 -1.3078558677232455 0.12506541000868474
6.0 2 3 0.006342544592497152 0.0007758207062534643 -0.08540715716576504 0.00826778988429567 4.264922741188891 0.061172380293382296 -7.555532442119595 0.5829746156995105 1.587728939378073 0.018130713789864396 -1.5986241029320138 0.17323389058627847
7.0 2 3 0.004753882142900476 0.0006004099034312402 -0.06076209784260232 0.006708444121967198 4.420250048485152 0.021727570517838152 -8.179316053233496 0.2090292411046167 1.652294996635144 0.01055337797985907 -1.7815244173690696 0.10153548168830624
8.0 2 3 0.004823254812059182 0.0005810213306169094 -0.0547643503173059 0.0062334756679921785 4.514003005396249 0.044263635730126254 -8.303221240219564 0.42572666603024867 1.6888212053690113 0.011479790128675612 -1.7633068745512803 0.11110497139344838
9.0 2 3 0.005323872289126334 0.0005511653109486987 -0.055422527264837755 0.005314935376946395 4.589697828360673 0.027281610073739526 -8.522864106908001 0.24085444430221692 1.761145096867412 0.008119824230402679 -2.1802566092489886 0.07172311055507398
10.0 2 3 0.0050967021402490926 0.0006754517515943092 -0.04863734090445646 0.006222818746491346 4.600912779583463 0.01609164387924201 -8.250205095222954 0.14257849878185594 1.7788105563763263 0.00797562446678047 -2.1413442425600544 0.07069947041060066
11.0 2 3 0.004386453169066184 0.0005559923141837875 -0.03919725116689621 0.005276225640616401 4.702052308726623 0.027647475454306705 -8.82370604796609 0.24434797977859915 1.809360003519521 0.018549637627931142 -2.2541581860948043 0.16442261476241732
12.0 2 3 0.004888278500386396 0.00041077460463400333 -0.041518696864814214 0.0035971899994868477 4.791220219441759 0.07167669411500575 -9.29680549219197 0.6152942949246134 1.8436384069865286 0.013707270249572481 -2.410255287943645 0.11768694251914939
13.0 2 3 0.004060405939221246 0.0003968155037090062 -0.03169278889327634 0.003668214707501768 4.6248445602532495 0.04801849708605846 -7.648344287783269 0.41673539563275597 1.8291836714918392 0.009597693279299236 -2.179281647522967 0.08334494719812738
14.0 2 3 0.004510226228038259 0.0003399304075169007 -0.034041912096136974 0.003029658681724313 4.68100057650903 0.02338194452013601 -7.970862840100941 0.2020918063045214 1.8541477967367355 0.008259635755925176 -2.303930739135749 0.07140214187786362
